Date,BND,XLC,VTV
1927-11-28,,13505.0700000000,7.9765253361
1927-11-29,,13523.9300000000,8.0075428321
1927-11-30,,13494.1300000000,8.0280773635
1927-12-01,,13448.2000000000,8.0097984259
1927-12-02,,13429.3300000000,8.0566235669
1927-12-05,,13507.2100000000,8.0437740777
1927-12-06,,13513.9100000000,8.0285457382
1927-12-07,,13432.7800000000,7.9869405096
1927-12-08,,13408.5500000000,7.9119697489
1927-12-09,,13652.5400000000,7.9919385603
1927-12-12,,13681.1700000000,7.9999933720
1927-12-13,,13871.2900000000,8.0253349066
1927-12-14,,13815.7600000000,7.9980767336
1927-12-15,,13785.3200000000,8.0343880959
1927-12-16,,13799.0500000000,8.0902725890
1927-12-19,,13872.2200000000,8.0852991896
1927-12-20,,13682.1200000000,8.1014827668
1927-12-21,,13653.3400000000,8.1074607067
1927-12-22,,13645.0900000000,8.1169637821
1927-12-23,,13636.8600000000,8.1501136154
1927-12-27,,13654.5300000000,8.1396368137
1927-12-28,,13623.0700000000,8.0891139780
1927-12-29,,13616.2100000000,8.1012670680
1927-12-30,,13650.2100000000,8.1194905402
1928-01-03,,13725.3200000000,8.1502183834
1928-01-04,,13723.9000000000,8.1281308202
1928-01-05,,13703.2600000000,8.0888119995
1928-01-06,,13777.2100000000,8.1262326703
1928-01-09,,13731.6400000000,8.0735713344
1928-01-10,,13702.7500000000,8.0269125897
1928-01-11,,13694.4800000000,8.0373709030
1928-01-12,,13665.6700000000,8.0537208765
1928-01-13,,13679.2900000000,8.1059261633
1928-01-16,,13632.7700000000,7.9890974982
1928-01-17,,13625.9100000000,7.9958581167
1928-01-18,,13624.5000000000,7.9717799612
1928-01-19,,13657.1500000000,8.0077831823
1928-01-20,,13711.7300000000,8.0438295431
1928-01-23,,13728.1400000000,8.0918749234
1928-01-24,,13740.4400000000,8.1100983956
1928-01-25,,13686.8100000000,8.0244289714
1928-01-26,,13741.5000000000,8.0608759158
1928-01-27,,13730.4600000000,8.0689368904
1928-01-30,,13704.3400000000,8.0121464621
1928-01-31,,13711.1400000000,8.0265736343
1928-02-01,,13683.6700000000,7.9960491643
1928-02-02,,13719.2000000000,8.0256122337
1928-02-03,,13698.5700000000,7.9500190277
1928-02-06,,13651.9800000000,7.9649823657
1928-02-07,,13610.9800000000,7.9514179889
1928-02-08,,13593.2400000000,7.9628130515
1928-02-09,,13574.1600000000,8.0028344341
1928-02-10,,13589.0400000000,8.0037465322
1928-02-14,,13632.5100000000,7.9796560510
1928-02-15,,13605.2000000000,7.9563728998
1928-02-16,,13611.9500000000,7.9408056050
1928-02-17,,13568.3400000000,7.8380281798
1928-02-20,,13501.8500000000,7.8241186848
1928-02-21,,13519.3500000000,7.8942516283
1928-02-23,,13501.7300000000,7.9110021854
1928-02-24,,13521.9300000000,7.9538338161
1928-02-27,,13524.5800000000,7.9244802827
1928-02-28,,13667.8900000000,7.9473012221
1928-02-29,,13666.4800000000,7.9615188583
1928-03-01,,13602.2000000000,7.9880251667
1928-03-02,,13641.6000000000,7.9925918197
1928-03-05,,13693.4200000000,8.0551691403
1928-03-06,,13701.5900000000,8.0503621371
1928-03-07,,13685.1000000000,8.0121033223
1928-03-08,,13689.1600000000,8.0361629894
1928-03-09,,13712.3800000000,8.1124341061
1928-03-12,,13815.3600000000,8.1321243305
1928-03-13,,13766.9600000000,8.1012239282
1928-03-14,,13798.5800000000,8.1141103944
1928-03-15,,13834.4000000000,8.1566462095
1928-03-16,,13832.9700000000,8.2407071364
1928-03-19,,13892.4200000000,8.2673613526
1928-03-20,,13870.1500000000,8.2559847785
1928-03-21,,13908.9300000000,8.3263765606
1928-03-22,,13901.9300000000,8.3080113434
1928-03-23,,13964.4400000000,8.3181984924
1928-03-26,,13911.2200000000,8.3594277887
1928-03-27,,13887.5200000000,8.3784092883
1928-03-28,,13915.2500000000,8.3986233529
1928-03-29,,13920.7700000000,8.4234780243
1928-03-30,,13937.4200000000,8.4925078222
1928-04-02,,13909.5000000000,8.4083606157
1928-04-03,,13898.3200000000,8.4680722228
1928-04-04,,13885.7700000000,8.4496761915
1928-04-05,,13906.5400000000,8.5059366169
1928-04-09,,13977.4200000000,8.5220647288
1928-04-10,,13939.6300000000,8.4610157887
1928-04-11,,13942.3700000000,8.5655311304
1928-04-12,,13940.9200000000,8.5363871330
1928-04-13,,13938.0900000000,8.6176809518
