Date,SPMOSIM
1974-08-12,9237.3100000000
1974-08-13,9117.5800000000
1974-08-14,8931.0600000000
1974-08-15,8865.0800000000
1974-08-16,8824.6000000000
1974-08-19,8681.4000000000
1974-08-20,8694.4000000000
1974-08-21,8537.0000000000
1974-08-22,8437.5800000000
1974-08-23,8272.1100000000
1974-08-26,8316.4700000000
1974-08-27,8172.9000000000
1974-08-28,8111.1600000000
1974-08-29,7977.8500000000
1974-08-30,8208.8600000000
1974-09-03,8101.1400000000
1974-09-04,7898.9900000000
1974-09-05,8158.0400000000
1974-09-06,8290.1100000000
1974-09-09,8102.9500000000
1974-09-10,7997.8400000000
1974-09-11,7927.3100000000
1974-09-12,7714.8000000000
1974-09-13,7578.4800000000
1974-09-16,7646.3400000000
1974-09-17,7802.4400000000
1974-09-18,7806.1400000000
1974-09-19,8090.0300000000
1974-09-20,8093.2300000000
1974-09-23,8082.4000000000
1974-09-24,8001.4600000000
1974-09-25,7991.7500000000
1974-09-26,7831.1500000000
1974-09-27,7592.1400000000
1974-09-30,7397.6900000000
1974-10-01,7373.2900000000
1974-10-02,7371.8400000000
1974-10-03,7233.6000000000
1974-10-04,7315.1800000000
1974-10-07,7618.1700000000
1974-10-08,7589.8600000000
1974-10-09,7873.4000000000
1974-10-10,8136.2300000000
1974-10-11,8302.9100000000
1974-10-14,8464.4900000000
1974-10-15,8284.7600000000
1974-10-16,8184.8200000000
1974-10-17,8342.0800000000
1974-10-18,8490.1000000000
1974-10-21,8617.2000000000
1974-10-22,8578.8100000000
1974-10-23,8354.1300000000
1974-10-24,8309.4400000000
1974-10-25,8359.3700000000
1974-10-28,8386.9800000000
1974-10-29,8669.8200000000
1974-10-30,8853.5500000000
1974-10-31,8838.6300000000
1974-11-01,8803.4500000000
1974-11-04,8680.9000000000
1974-11-05,8828.2600000000
1974-11-06,8843.9500000000
1974-11-07,8876.8900000000
1974-11-08,8868.4000000000
1974-11-11,8888.2200000000
1974-11-12,8719.6900000000
1974-11-13,8725.8900000000
1974-11-14,8742.0400000000
1974-11-15,8644.0300000000
1974-11-18,8375.8300000000
1974-11-19,8205.2400000000
1974-11-20,8222.9800000000
1974-11-21,8305.6000000000
1974-11-22,8401.7700000000
1974-11-25,8373.5000000000
1974-11-26,8416.2900000000
1974-11-27,8446.5400000000
1974-11-29,8433.1100000000
1974-12-02,8197.2900000000
1974-12-03,8049.7100000000
1974-12-04,8118.4500000000
1974-12-05,7941.9200000000
1974-12-06,7803.6300000000
1974-12-09,7826.7600000000
1974-12-10,8030.8700000000
1974-12-11,8046.4300000000
1974-12-12,8024.9000000000
1974-12-13,7990.8500000000
1974-12-16,7961.6400000000
1974-12-17,8083.7000000000
1974-12-18,8147.6200000000
1974-12-19,8131.0000000000
1974-12-20,8067.7600000000
1974-12-23,7982.0300000000
1974-12-24,8063.4800000000
1974-12-26,8117.9200000000
1974-12-27,8108.9200000000
1974-12-30,8067.3200000000
1974-12-31,8193.5400000000
1975-01-02,8333.2700000000
1975-01-03,8314.5700000000
1975-01-06,8368.9800000000
1975-01-07,8377.0800000000
1975-01-08,8311.2900000000
1975-01-09,8379.5100000000
1975-01-10,8560.8800000000
1975-01-13,8565.5200000000
1975-01-14,8515.9200000000
1975-01-15,8606.5900000000
1975-01-16,8642.5300000000
1975-01-17,8562.4600000000
1975-01-20,8558.4000000000
1975-01-21,8525.4900000000
1975-01-22,8584.2900000000
1975-01-23,8641.4100000000
1975-01-24,8793.3800000000
1975-01-27,9066.7900000000
1975-01-28,9084.7100000000
1975-01-29,9197.6100000000
1975-01-30,9112.8500000000
1975-01-31,9171.0500000000
1975-02-03,9270.8700000000
1975-02-04,9207.4900000000
1975-02-05,9347.2100000000
1975-02-06,9354.3400000000
1975-02-07,9320.1500000000
1975-02-10,9309.5400000000
1975-02-11,9262.3700000000
1975-02-12,9299.5900000000
1975-02-13,9426.4500000000
1975-02-14,9507.4300000000
1975-02-18,9522.0000000000
1975-02-19,9540.3400000000
1975-02-20,9671.7400000000
1975-02-21,9710.1900000000
1975-02-24,9601.8300000000
1975-02-25,9403.1700000000
1975-02-26,9505.7300000000
1975-02-27,9539.3500000000
1975-02-28,9586.4000000000
1975-03-03,9778.3900000000
1975-03-04,9894.0300000000
1975-03-05,9836.7900000000
1975-03-06,9919.3800000000
1975-03-07,9996.0500000000
1975-03-10,10070.4600000000
1975-03-11,10066.6200000000
1975-03-12,9962.1400000000
1975-03-13,9974.3600000000
1975-03-14,10117.5900000000
1975-03-17,10301.1700000000
1975-03-18,10279.1000000000
1975-03-19,10173.8700000000
1975-03-20,10080.0500000000
1975-03-21,10103.4900000000
1975-03-24,9916.5600000000
1975-03-25,9993.0300000000
1975-03-26,10179.4300000000
1975-03-27,10307.2700000000
1975-03-31,10255.0000000000
1975-04-01,10148.9200000000
1975-04-02,10155.2900000000
1975-04-03,10096.9100000000
1975-04-04,10060.4500000000
1975-04-07,9973.0500000000
1975-04-08,10023.3100000000
1975-04-09,10237.2700000000
1975-04-10,10389.0100000000
1975-04-11,10492.6400000000
1975-04-14,10630.3900000000
1975-04-15,10658.4100000000
1975-04-16,10711.7900000000
1975-04-17,10841.1800000000
1975-04-18,10732.2000000000
1975-04-21,10856.8500000000
1975-04-22,10836.5000000000
1975-04-23,10725.2800000000
1975-04-24,10704.2700000000
1975-04-25,10786.0800000000
1975-04-28,10769.8200000000
1975-04-29,10709.1000000000
1975-04-30,10875.4800000000
1975-05-01,10972.4500000000
1975-05-02,11078.2200000000
1975-05-05,11145.3100000000
1975-05-06,10951.4300000000
1975-05-07,10960.0400000000
1975-05-08,11057.7400000000
1975-05-09,11195.0400000000
1975-05-12,11207.1300000000
1975-05-13,11261.5600000000
1975-05-14,11391.0500000000
1975-05-15,11344.4900000000
1975-05-16,11205.6500000000
1975-05-19,11214.9900000000
1975-05-20,11188.8000000000
1975-05-21,11027.5700000000
1975-05-22,11046.4400000000
1975-05-23,11154.4500000000
1975-05-27,11145.1000000000
1975-05-28,11021.5700000000
1975-05-29,11053.2500000000
1975-05-30,11276.0000000000
1975-06-02,11537.6700000000
1975-06-03,11615.6300000000
1975-06-04,11550.8400000000
1975-06-05,11546.7500000000
1975-06-06,11514.4500000000
1975-06-09,11391.7600000000
1975-06-10,11300.5200000000
1975-06-11,11336.0100000000
1975-06-12,11281.4200000000
1975-06-13,11331.6400000000
1975-06-16,11493.9100000000
1975-06-17,11406.9400000000
1975-06-18,11394.1900000000
1975-06-19,11616.4400000000
1975-06-20,11720.3500000000
1975-06-23,11806.1000000000
1975-06-24,11889.6400000000
1975-06-25,11913.8400000000
1975-06-26,11903.7500000000
1975-06-27,11890.8500000000
1975-06-30,11941.9200000000
1975-07-01,11935.5900000000
1975-07-02,11869.4600000000
1975-07-03,11899.0900000000
1975-07-07,11824.5600000000
1975-07-08,11800.4500000000
1975-07-09,11982.4300000000
1975-07-10,11984.5100000000
1975-07-11,11976.3900000000
1975-07-14,12020.4900000000
1975-07-15,12115.2200000000
1975-07-16,12007.3500000000
1975-07-17,11917.7400000000
1975-07-18,11876.2000000000
1975-07-21,11776.4700000000
1975-07-22,11616.7500000000
1975-07-23,11453.8800000000
1975-07-24,11403.3300000000
1975-07-25,11332.0600000000
1975-07-28,11239.7400000000
1975-07-29,11232.3200000000
1975-07-30,11304.4100000000
1975-07-31,11340.3900000000
1975-08-01,11250.2100000000
1975-08-04,11143.4600000000
1975-08-05,11073.9700000000
1975-08-06,11106.7300000000
1975-08-07,11139.0400000000
1975-08-08,11154.9700000000
1975-08-11,11235.0300000000
1975-08-12,11330.7000000000
1975-08-13,11216.2200000000
1975-08-14,11183.1000000000
1975-08-15,11299.4300000000
1975-08-18,11284.4400000000
1975-08-19,11095.6500000000
1975-08-20,10827.6800000000
1975-08-21,10810.4700000000
1975-08-22,10988.8900000000
1975-08-25,11117.0600000000
1975-08-26,11008.6700000000
1975-08-27,11061.2100000000
1975-08-28,11298.1800000000
1975-08-29,11403.5100000000
1975-09-02,11272.0300000000
1975-09-03,11362.9800000000
1975-09-04,11425.6400000000
1975-09-05,11389.7200000000
1975-09-08,11474.5700000000
1975-09-09,11369.2000000000
1975-09-10,11174.3000000000
1975-09-11,11133.0300000000
1975-09-12,11121.5100000000
1975-09-15,11071.8700000000
1975-09-16,10955.0200000000
1975-09-17,10979.6300000000
1975-09-18,11154.0100000000
1975-09-19,11394.5600000000
1975-09-22,11345.5500000000
1975-09-23,11327.5100000000
1975-09-24,11491.5500000000
1975-09-25,11509.9800000000
1975-09-26,11617.9400000000
1975-09-29,11487.8900000000
1975-09-30,11271.2500000000
1975-10-01,11100.8600000000
1975-10-02,11209.4100000000
1975-10-03,11508.5500000000
1975-10-06,11655.7900000000
1975-10-07,11604.9200000000
1975-10-08,11777.2000000000
1975-10-09,11808.8800000000
1975-10-10,11731.4300000000
1975-10-13,11886.5100000000
1975-10-14,11860.4300000000
1975-10-15,11881.3300000000
1975-10-16,11878.3200000000
1975-10-17,11801.0500000000
1975-10-20,11938.9500000000
1975-10-21,12086.5100000000
1975-10-22,12098.7300000000
1975-10-23,12180.9800000000
1975-10-24,12035.9000000000
1975-10-27,11996.8000000000
1975-10-28,12092.2400000000
1975-10-29,11917.8300000000
1975-10-30,11873.3600000000
1975-10-31,11834.0500000000
1975-11-03,11691.9300000000
1975-11-04,11702.3200000000
1975-11-05,11839.6300000000
1975-11-06,11871.9600000000
1975-11-07,11797.0200000000
1975-11-10,11751.4600000000
1975-11-11,11848.4400000000
1975-11-12,12040.2000000000
1975-11-13,12029.0900000000
1975-11-14,12002.4700000000
1975-11-17,12028.7700000000
1975-11-18,11969.8400000000
1975-11-19,11773.7900000000
1975-11-20,11757.3000000000
